director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genre_1,genre_2,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,num_user_for_reviews,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,movie_facebook_likes,profit,return_on_investment
Barry Sonnenfeld,451,106,188,718,Michael Stuhlbarg,10000,179020854,Action,Comedy,Will Smith,Men in Black 3 ,268154,12572,Nicole Scherzinger,1,alien|criminal|m.i.b.|maximum security prison|prison,341,USA,PG-13,225000000,2012,816,6.8,40000,-45979146,-20.435176
Peter Jackson,422,164,0,773,Adam Brown,5000,255108370,Adventure,NA,Aidan Turner,The Hobbit: The Battle of the Five Armies ,354228,9152,James Nesbitt,0,army|elf|hobbit|middle earth|orc,802,Others,PG-13,250000000,2014,972,7.5,65000,5108370,2.043348
Marc Webb,599,153,464,963,Andrew Garfield,15000,262030663,Action,Fantasy,Emma Stone,The Amazing Spider-Man ,451803,28489,Chris Zylka,0,lizard|outcast|spider|spider man|teenager,1225,USA,PG-13,230000000,2012,10000,7,56000,32030663,13.926375217391303
Ridley Scott,343,156,0,738,William Hurt,891,105219735,Action,Drama,Mark Addy,Robin Hood ,211765,3244,Scott Grimes,0,1190s|archer|england|king of england|robin hood,546,USA,PG-13,200000000,2010,882,6.7,17000,-94780265,-47.3901325
Peter Jackson,509,186,0,773,Adam Brown,5000,258355354,Adventure,NA,Aidan Turner,The Hobbit: The Desolation of Smaug ,483540,9152,James Nesbitt,6,dwarf|elf|lake town|mountain|sword and sorcery,951,USA,PG-13,225000000,2013,972,7.9,83000,33355354,14.824601777777776
Chris Weitz,251,113,129,1000,Eva Green,16000,70083519,Adventure,Fantasy,Christopher Lee,The Golden Compass ,149019,24106,Kristin Scott Thomas,2,children|epic|friend|girl|quest,666,USA,PG-13,180000000,2007,6000,6.1,0,-109916481,-61.06471166666667
Peter Jackson,446,201,0,84,Thomas Kretschmann,6000,218051260,Action,Drama,Naomi Watts,King Kong ,316018,7123,Evan Parke,0,animal name in title|ape abducts a woman|gorilla|island|king kong,2618,Others,PG-13,207000000,2005,919,7.2,0,11051260,5.338772946859904
James Cameron,315,194,0,794,Kate Winslet,29000,658672302,Drama,NA,Leonardo DiCaprio,Titanic ,793059,45223,Gloria Stuart,0,artist|love|ship|titanic|wet,2528,USA,PG-13,200000000,1997,14000,7.7,26000,458672302,229.336151
Anthony Russo,516,147,94,11000,Scarlett Johansson,21000,407197282,Action,Sci-Fi,Robert Downey Jr.,Captain America: Civil War ,272670,64798,Chris Evans,0,based on comic book|knife|marvel cinematic universe|returning character killed off|superhero,1022,USA,PG-13,250000000,2016,19000,8.2,72000,157197282,62.878912799999995
Peter Berg,377,131,532,627,Alexander Skarsgård,14000,65173160,Action,Sci-Fi,Liam Neeson,Battleship ,202382,26679,Tadanobu Asano,0,box office flop|hawaii|naval|oahu hawaii|ship,751,USA,PG-13,209000000,2012,10000,5.9,44000,-143826840,-68.81666985645933
Colin Trevorrow,644,124,365,1000,Judy Greer,3000,652177271,Action,Sci-Fi,Bryce Dallas Howard,Jurassic World ,418214,8458,Omar Sy,0,dinosaur|disaster film|experiment gone wrong|jurassic park|velociraptor,1290,USA,PG-13,150000000,2015,2000,7,150000,502177271,334.78484733333335
Sam Mendes,750,143,0,393,Helen McCrory,883,304360277,Action,Thriller,Albert Finney,Skyfall ,522030,2039,Rory Kinnear,0,brawl|childhood home|computer cracker|intelligence agency|terrorist cell,1498,Others,PG-13,200000000,2012,563,7.8,80000,104360277,52.1801385
Sam Raimi,300,135,0,4000,James Franco,24000,373377893,Action,Fantasy,J.K. Simmons,Spider-Man 2 ,411164,43388,Kirsten Dunst,1,death|doctor|scientist|super villain|tentacle,1303,USA,PG-13,200000000,2004,11000,7.3,0,173377893,86.6889465
Shane Black,608,195,1000,3000,Jon Favreau,21000,408992272,Action,Sci-Fi,Robert Downey Jr.,Iron Man 3 ,557489,30426,Don Cheadle,3,armor|explosion|human bomb|missile attack|terrorist,1187,USA,PG-13,200000000,2013,4000,7.2,95000,208992272,104.496136
Tim Burton,451,108,13000,11000,Alan Rickman,40000,334185206,Adventure,Fantasy,Johnny Depp,Alice in Wonderland ,306320,79957,Anne Hathaway,0,alice in wonderland|mistaking reality for dream|queen|shrinking|shrinking potion,736,USA,PG,200000000,2010,25000,6.5,24000,134185206,67.092603
Brett Ratner,334,104,420,560,Kelsey Grammer,20000,234360014,Action,Fantasy,Hugh Jackman,X-Men: The Last Stand ,383427,21714,Daniel Cudmore,0,battle|mutant|outrage|walking through a wall|x men,1912,Others,PG-13,210000000,2006,808,6.8,0,24360014,11.600006666666667
Dan Scanlon,376,104,37,760,Tyler Labine,12000,268488329,Adventure,Comedy,Steve Buscemi,Monsters University ,235025,14863,Sean Hayes,0,cheating|fraternity|monster|singing in a car|university,265,USA,G,200000000,2013,779,7.3,44000,68488329,34.244164500000004
Michael Bay,366,150,0,464,Kevin Dunn,894,402076689,Action,Sci-Fi,Glenn Morshower,Transformers: Revenge of the Fallen ,323207,3218,Ramon Rodriguez,0,autobot|decepticon|machine|sun|symbol,1439,USA,PG-13,200000000,2009,581,6,0,202076689,101.0383445
Michael Bay,378,165,0,808,Sophia Myles,974,245428137,Action,Sci-Fi,Bingbing Li,Transformers: Age of Extinction ,242420,3988,Kelsey Grammer,2,blockbuster|bumblebee the character|semi truck and trailer|texas|truck,918,USA,PG-13,210000000,2014,956,5.7,56000,35428137,16.87054142857143
Sam Raimi,525,130,0,11000,Mila Kunis,44000,234903076,Adventure,Fantasy,Tim Holmes,Oz the Great and Powerful ,175409,73441,James Franco,4,circus|magic|magician|oz|witch,511,USA,PG,215000000,2013,15000,6.4,60000,19903076,9.257244651162791
Marc Webb,495,142,464,825,Andrew Garfield,15000,202853933,Action,Fantasy,Emma Stone,The Amazing Spider-Man 2 ,321227,28631,B.J. Novak,0,costumed hero|death of girlfriend|masked vigilante|returning character killed off|teenager,1067,USA,PG-13,200000000,2014,10000,6.7,41000,2853933,1.4269665
Joseph Kosinski,469,125,364,1000,Olivia Wilde,12000,172051787,Action,Sci-Fi,Jeff Bridges,TRON: Legacy ,264183,25550,James Frain,0,arcade|bridge|disappearance|escape|warrior,665,USA,PG,170000000,2010,10000,6.8,30000,2051787,1.2069335294117647
John Lasseter,304,106,487,776,Thomas Kretschmann,1000,191450875,Adventure,Comedy,Joe Mantegna,Cars 2 ,101178,4482,Eddie Izzard,0,best friend|car race|conspiracy|gadget car|spy,283,USA,G,200000000,2011,919,6.3,10000,-8549125,-4.2745625
Martin Campbell,436,123,258,326,Temuera Morrison,16000,116593191,Action,Sci-Fi,Ryan Reynolds,Green Lantern ,223393,17657,Taika Waititi,2,autopsy|lantern|planet|ring|test pilot,550,USA,PG-13,200000000,2011,368,5.6,24000,-83406809,-41.703404500000005
Lee Unkrich,453,103,125,721,John Ratzenberger,15000,414984497,Adventure,Comedy,Tom Hanks,Toy Story 3 ,544884,19085,Don Rickles,3,college|day care|escape|teddy bear|toy,733,USA,G,200000000,2010,1000,8.3,30000,214984497,107.49224850000002
McG,422,118,368,988,Bryce Dallas Howard,23000,125320003,Action,Sci-Fi,Christian Bale,Terminator Salvation ,286095,27468,Common,0,death row|future|machine|rescue|skynet,974,USA,PG-13,200000000,2009,3000,6.6,0,-74679997,-37.3399985
James Wan,424,140,0,14000,Paul Walker,26000,350034110,Action,Thriller,Jason Statham,Furious 7 ,278232,79150,Vin Diesel,0,car falling off a cliff|hospital|revenge|star died before release|terrorist,657,USA,PG-13,190000000,2015,23000,7.2,94000,160034110,84.22847894736843
Marc Forster,654,123,395,1000,Brad Pitt,17000,202351611,Action,Horror,Peter Capaldi,World War Z ,465019,32392,Mireille Enos,0,chaos|disease|infection|pandemic|zombie,995,USA,PG-13,190000000,2013,11000,7,129000,12351611,6.500847894736841
Bryan Singer,539,149,0,20000,Peter Dinklage,34000,233914986,Action,Fantasy,Jennifer Lawrence,X-Men: Days of Future Past ,514125,91434,Hugh Jackman,7,dystopia|super strength|supernatural power|time paradox|time travel,752,USA,PG-13,200000000,2014,22000,8,82000,33914986,16.957493
J.J. Abrams,590,132,14000,928,Bruce Greenwood,19000,228756232,Action,Sci-Fi,Benedict Cumberbatch,Star Trek Into Darkness ,395573,21411,Noel Clarke,0,admiral|captain|manhunt|mission|space,1171,USA,PG-13,190000000,2013,981,7.8,92000,38756232,20.398016842105264
Bryan Singer,338,114,0,140,Ewen Bremner,979,65171860,Adventure,NA,Eddie Marsan,Jack the Giant Slayer ,106416,1766,Ralph Brown,1,bean|giant|king|no opening credits|princess,205,USA,PG-13,195000000,2013,557,6.3,22000,-129828140,-66.57853333333334
Baz Luhrmann,490,143,1000,77,Elizabeth Debicki,29000,144812796,Drama,NA,Leonardo DiCaprio,The Great Gatsby ,362912,29770,Steve Bisley,4,ingratitude|mansion|party|title appears in writing|tragedy,753,Others,PG-13,105000000,2013,509,7.3,115000,39812796,37.91694857142857
Mike Newell,306,116,179,236,Richard Coyle,15000,90755643,Action,Fantasy,Jake Gyllenhaal,Prince of Persia: The Sands of Time ,222403,16149,Reece Ritchie,2,alamut|dagger|king|persia|princess,453,USA,PG-13,200000000,2010,567,6.6,23000,-109244357,-54.6221785
Guillermo del Toro,575,131,0,919,Clifton Collins Jr.,16000,101785482,Action,Sci-Fi,Charlie Hunnam,Pacific Rim ,381148,19166,Larry Joe Campbell,0,giant monster|kaiju|pilot|portal|robot,1106,USA,PG-13,190000000,2013,968,7,83000,-88214518,-46.42869368421053
Michael Bay,428,154,0,581,Lester Speight,894,352358779,Action,Sci-Fi,Glenn Morshower,Transformers: Dark of the Moon ,326180,2593,Kevin Dunn,2,autobot|decepticon|job interview|moon|spacecraft,899,USA,PG-13,195000000,2011,829,6.3,46000,157358779,80.69680974358975
Steven Spielberg,470,122,14000,1000,Ray Winstone,11000,317011114,Action,Fantasy,Harrison Ford,Indiana Jones and the Kingdom of the Crystal Skull ,333847,14959,Jim Broadbent,2,cult figure|femme fatale|indiana jones|unsubtitled foreign language|year 1957,2054,USA,PG-13,185000000,2008,1000,6.2,5000,132011114,71.35735891891892
Mark Andrews,488,93,56,838,John Ratzenberger,2000,237282182,Adventure,Comedy,Kelly Macdonald,Brave ,273556,5005,Julie Walters,0,archery|coming of age|female warrior|princess|rebellious daughter,428,USA,PG,185000000,2012,1000,7.2,39000,52282182,28.260638918918918
Justin Lin,322,122,681,105,Melissa Roxburgh,998,130468626,Action,Sci-Fi,Sofia Boutella,Star Trek Beyond ,53607,1327,Lydia Wilson,4,hatred|sequel|space opera|star trek|third part,432,USA,PG-13,185000000,2016,119,7.5,30000,-54531374,-29.476418378378376
Andrew Stanton,421,98,475,522,Fred Willard,1000,223806889,Adventure,Family,John Ratzenberger,WALL·E ,718837,2975,Jeff Garlin,0,earth|obesity|plant|robot|soil,1043,USA,G,180000000,2008,729,8.4,16000,43806889,24.337160555555556
Brett Ratner,162,91,420,173,Dana Ivey,268,140080850,Action,Crime,Tzi Ma,Rush Hour 3 ,121084,1125,Noémie Lenoir,2,ambassador|assassination|chinese|french|triad,221,USA,PG-13,140000000,2007,268,6.2,0,80850,0.05775
Roland Emmerich,367,158,776,310,Liam James,1000,166112167,Action,Sci-Fi,Oliver Platt,2012 ,283418,2144,Tom McCarthy,0,ark|catastrophe|geologist|president|writer,1055,USA,PG-13,200000000,2009,468,5.8,13000,-33887833,-16.9439165
Robert Zemeckis,240,96,0,10000,Colin Firth,18000,137850096,Animation,Family,Robin Wright,A Christmas Carol ,72809,48878,Gary Oldman,0,charles dickens|christmas|christmas eve|ghost|scrooge,249,USA,PG,200000000,2009,14000,6.8,0,-62149904,-31.074952
Lana Wachowski,384,127,0,13000,Mila Kunis,17000,47375327,Action,Sci-Fi,Channing Tatum,Jupiter Ascending ,139593,47334,Eddie Redmayne,1,box office flop|critically bashed|planet earth|space opera|woman in bra and panties,720,USA,PG-13,176000000,2015,15000,5.4,44000,-128624673,-73.08220056818182
David Yates,248,110,282,103,Alexander Skarsgård,11000,124051759,Action,Drama,Christoph Waltz,The Legend of Tarzan ,42372,21175,Casper Crump,2,africa|capture|jungle|male objectification|tarzan,239,USA,PG-13,180000000,2016,10000,6.6,29000,-55948241,-31.08235611111111
Andrew Adamson,284,150,80,82,Kiran Shah,1000,291709845,Adventure,Fantasy,Jim Broadbent,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",286506,1317,Shane Rangi,5,hide and seek|lion|magic|professor|snow,1463,USA,PG,180000000,2005,190,6.9,0,111709845,62.061025
Bryan Singer,396,144,0,1000,Michael Fassbender,34000,154985087,Action,Sci-Fi,Jennifer Lawrence,X-Men: Apocalypse ,148379,49684,Tye Sheridan,6,mutant|superhero|superhero team|x men|year 1983,622,USA,PG-13,178000000,2016,13000,7.3,54000,-23014913,-12.929726404494382
Christopher Nolan,645,152,22000,11000,Heath Ledger,23000,533316061,Action,Drama,Christian Bale,The Dark Knight ,1676169,57802,Morgan Freeman,0,based on comic book|dc comics|psychopath|star died before release|urban setting,4667,USA,PG-13,185000000,2008,13000,9,37000,348316061,188.2789518918919
Pete Docter,408,96,0,262,Delroy Lindo,1000,292979556,Adventure,Comedy,John Ratzenberger,Up ,665575,2635,Jess Harnell,1,balloon|house|promise|retirement|skeleton,704,USA,PG,175000000,2009,848,8.3,27000,117979556,67.41688914285714
Rob Letterman,219,94,11,459,Rainn Wilson,1000,198332128,Action,Animation,Amy Poehler,Monsters vs. Aliens ,114553,2579,Stephen Colbert,2,alien|alien invasion|alien space craft|giant|giantess,187,USA,PG,175000000,2009,973,6.5,0,23332128,13.33264457142857
Jon Favreau,486,126,4000,4000,Jeff Bridges,21000,318298180,Action,Sci-Fi,Robert Downey Jr.,Iron Man ,696338,39252,Jon Favreau,3,afghanistan|billionaire|inventor|playboy|u.s. air force,1055,USA,PG-13,140000000,2008,12000,7.9,10000,178298180,127.35584285714285
Martin Scorsese,682,126,17000,1000,Christopher Lee,17000,73820094,Adventure,Family,Chloë Grace Moretz,Hugo ,245333,36017,Ray Winstone,0,automaton|mechanical|railway station|steampunk|train,678,USA,PG,170000000,2011,16000,7.5,42000,-96179906,-56.576415294117645
Barry Sonnenfeld,85,106,188,582,Salma Hayek,10000,113745408,Action,Sci-Fi,Will Smith,Wild Wild West ,129601,15870,Bai Ling,2,buddy movie|general|inventor|steampunk|utah,648,USA,PG-13,170000000,1999,4000,4.8,0,-56254592,-33.09093647058823
Rob Cohen,264,112,357,595,Brendan Fraser,5000,102176165,Action,Fantasy,Jet Li,The Mummy: Tomb of the Dragon Emperor ,117927,9131,Russell Wong,2,army|china|emperor|mummy|shangri la,501,USA,PG-13,145000000,2008,3000,5.2,0,-42823835,-29.53367931034483
David Ayer,418,123,452,329,Robin Atkin Downes,10000,161087183,Action,Comedy,Will Smith,Suicide Squad ,118992,11287,Ike Barinholtz,8,based on comic book|critically bashed|father daughter relationship|reference to superman|super villain,971,USA,PG-13,175000000,2016,336,6.9,80000,-13912817,-7.950181142857144
Tom Shadyac,186,96,293,7000,Morgan Freeman,87000,100289690,Comedy,Fantasy,Jimmy Bennett,Evan Almighty ,115099,108016,Steve Carell,0,ark|change|congressman|depiction of god|flood,257,USA,PG,175000000,2007,11000,5.4,2000,-74710310,-42.691605714285714
Doug Liman,585,113,218,509,Lara Pulver,10000,100189501,Action,Sci-Fi,Tom Cruise,Edge of Tomorrow ,431620,12652,Noah Taylor,1,alien|combat|dying repeatedly|end of the world|time loop,741,USA,PG-13,178000000,2014,854,7.9,77000,-77810499,-43.71376348314607
Kevin Reynolds,91,176,58,60,Rick Aviles,711,88246220,Action,Sci-Fi,Jeanne Tripplehorn,Waterworld ,144337,1004,Zakes Mokae,0,future|sail|sea|smoker|water,309,USA,PG-13,175000000,1995,60,6.1,0,-86753780,-49.57358857142857
Stephen Sommers,250,118,208,570,Dennis Quaid,23000,150167630,Action,Sci-Fi,Joseph Gordon-Levitt,G.I. Joe: The Rise of Cobra ,174578,26683,Leo Howard,4,cobra|gi joe|snake|train|warhead,534,USA,PG-13,175000000,2009,2000,5.8,0,-24832370,-14.189925714285714
Pete Docter,536,95,0,384,Mindy Kaling,1000,356454367,Adventure,Comedy,Amy Poehler,Inside Out ,345198,2944,Phyllis Smith,1,anger|joy|memory|running away|sadness,773,USA,PG,175000000,2015,767,8.3,118000,181454367,103.68820971428572
Jon Favreau,370,106,4000,591,Bill Murray,19000,362645141,Adventure,Family,Scarlett Johansson,The Jungle Book ,106072,32921,Garry Shandling,0,fire|jungle|remake|tiger|wolf,398,Others,PG,175000000,2016,13000,7.8,65000,187645141,107.22579485714286
Jon Favreau,453,124,4000,4000,Scarlett Johansson,21000,312057433,Action,Sci-Fi,Robert Downey Jr.,Iron Man 2 ,522371,48638,Jon Favreau,4,hammer|military|monaco|revenge|tony stark,723,USA,PG-13,200000000,2010,19000,7,18000,112057433,56.028716499999994
Rupert Sanders,416,132,274,11000,Kristen Stewart,26000,155111815,Action,Drama,Chris Hemsworth,Snow White and the Huntsman ,228554,72881,Sam Claflin,0,evil queen|fairy tale|magic|queen|snow white,710,USA,PG-13,170000000,2012,17000,6.1,53000,-14888185,-8.75775588235294
Robert Stromberg,401,97,171,846,Sharlto Copley,11000,241407328,Action,Family,Angelina Jolie Pitt,Maleficent ,252257,15516,Sam Riley,2,curse|dark fantasy|fairy|king|kingdom,634,USA,PG,180000000,2014,2000,7,89000,61407328,34.115182222222224
Matt Reeves,521,130,198,884,Judy Greer,10000,208543795,Action,Drama,Gary Oldman,Dawn of the Planet of the Apes ,317542,14363,Kodi Smit-McPhee,0,ape|dam|leader|post apocalypse|sequel,620,USA,PG-13,170000000,2014,2000,7.6,45000,38543795,22.672820588235293
Carl Rinsch,218,128,47,982,Cary-Hiroyuki Tagawa,18000,38297305,Action,Drama,Keanu Reeves,47 Ronin ,116994,20965,Jin Akanishi,2,box office flop|ronin|samurai|shogun|tournament,324,USA,PG-13,175000000,2013,1000,6.3,35000,-136702695,-78.11582571428572
Anthony Russo,576,136,94,2000,Chris Evans,19000,259746958,Action,Sci-Fi,Scarlett Johansson,Captain America: The Winter Soldier ,496749,36188,Hayley Atwell,1,conspiracy|heroism|megalomaniac|super soldier|world domination,742,USA,PG-13,170000000,2014,11000,7.8,55000,89746958,52.792328235294114
Mike Mitchell,226,93,31,213,Kathy Griffin,4000,238371987,Adventure,Comedy,Jon Hamm,Shrek Forever After ,138661,4628,Mary Kay Place,2,alternate world|fairy tale parody|female warrior|ogre|true love,173,USA,PG,165000000,2010,225,6.4,0,73371987,44.467870909090905
Brad Bird,443,130,663,604,Chris Bauer,2000,93417865,Action,Family,Judy Greer,Tomorrowland ,128306,5046,Thomas Robinson,2,boy genius|futuristic city|inventor|teenage girl|time travel,497,USA,PG,190000000,2015,638,6.5,37000,-96582135,-50.832702631578954
Don Hall,384,102,38,562,Daniel Henney,756,222487711,Action,Animation,Damon Wayans Jr.,Big Hero 6 ,279093,2963,Abraham Benrubi,0,high tech|martial arts|masked man|robot|superhero,433,USA,PG,165000000,2014,719,7.9,41000,57487711,34.84103696969697
Rich Moore,377,101,66,833,Sarah Silverman,975,189412677,Adventure,Comedy,Jack McBrayer,Wreck-It Ralph ,272534,4451,Joe Lo Truglio,1,arcade|candy|glitch|king|medal,345,USA,PG,165000000,2012,931,7.8,40000,24412677,14.795561818181818
Robert Zemeckis,188,100,0,267,Eddie Deezen,15000,665426,Adventure,Family,Tom Hanks,The Polar Express ,120798,16264,Peter Scolari,0,boy|christmas|christmas eve|north pole|train,444,USA,G,165000000,2004,726,6.6,10000,-164334574,-99.59671151515151
Roland Emmerich,286,120,776,535,Sela Ward,890,102315545,Action,Sci-Fi,Vivica A. Fox,Independence Day: Resurgence ,58137,3233,Judd Hirsch,0,alien|battle|defense|independence day|mothership,520,USA,PG-13,165000000,2016,812,5.5,67000,-62684455,-37.99057878787879
Dean DeBlois,288,98,255,759,America Ferrera,18000,217387997,Adventure,Family,Gerard Butler,How to Train Your Dragon ,485430,20453,Craig Ferguson,0,dragon|island|training|viking|village,492,USA,PG,165000000,2010,953,8.2,33000,52387997,31.75030121212121
Jonathan Mostow,280,109,84,191,M.C. Gainey,648,150350192,Action,NA,Nick Stahl,Terminator 3: Rise of the Machines ,305340,1769,Carolyn Hennesy,0,drifter|exploding truck|future|machine|skynet,1676,USA,R,200000000,2003,284,6.4,0,-49649808,-24.824904
James Gunn,653,121,571,3000,Vin Diesel,14000,333130696,Action,Sci-Fi,Bradley Cooper,Guardians of the Galaxy ,682155,32438,Djimon Hounsou,3,bounty hunter|outer space|raccoon|talking animal|tree,1097,USA,PG-13,170000000,2014,14000,8.1,96000,163130696,95.95923294117648
Christopher Nolan,712,169,22000,6000,Anne Hathaway,11000,187991439,Adventure,Sci-Fi,Matthew McConaughey,Interstellar ,928227,31488,Mackenzie Foy,1,black hole|father daughter relationship|saving the world|space travel|wormhole,2725,USA,PG-13,165000000,2014,11000,8.6,349000,22991439,13.934205454545454
Christopher Nolan,642,148,22000,23000,Tom Hardy,29000,292568851,Action,Sci-Fi,Leonardo DiCaprio,Inception ,1468200,81115,Joseph Gordon-Levitt,0,ambiguous ending|corporate espionage|dream|subconscious|thief,2803,USA,PG-13,160000000,2010,27000,8.8,175000,132568851,82.855531875
Peter Jackson,645,182,0,773,Adam Brown,5000,303001229,Adventure,NA,Aidan Turner,The Hobbit: An Unexpected Journey ,637246,9152,James Nesbitt,NA,dragon|dwarf|hobbit|orc|wizard,1367,USA,PG-13,180000000,2012,972,7.9,166000,123001229,68.33401611111111
Rob Cohen,187,106,357,4000,Vin Diesel,23000,144512310,Action,Thriller,Paul Walker,The Fast and the Furious ,272223,45327,Jordana Brewster,2,eighteen wheeler|illegal street racing|truck|trucker|undercover cop,988,USA,PG-13,38000000,2001,14000,6.7,14000,106512310,280.29555263157897
David Fincher,362,166,21000,919,Jason Flemyng,11000,127490802,Drama,Romance,Brad Pitt,The Curious Case of Benjamin Button ,459346,13333,Julia Ormond,2,deformed baby|diary|lingerie slip|older man younger woman relationship|premature aging,822,USA,PG-13,150000000,2008,1000,7.8,23000,-22509198,-15.006132
